timestamp,addr,flight,squawk,category,alt_baro,alt_geom,lat,lon,gs,ias,tas,mach,track,track_rate,roll,mag_heading,true_heading,baro_rate,geom_rate,messages,seen,rssi,distance,air_ground,nic,rc,version,nic_baro,nac_p,nac_v,sil,sil_type,seen_pos,alert,spi,gva,sda,wind_speed,wind_direction,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,addr_type,emergency,autopilot,vnav,althold,approach,lnav,tcas
1744675455,3438035,,0,0,38025,0,43.51451809123411,-6.411307198660714,0,0,0,0.0,0,0.0,0.0,0,0,0,0,7,1744675454247,-35.45681381225586,0,2,8,186,0,0,8,0,2,1,5,False,False,0,0,0,0,0.0,0,0,0,0,0,False,False,False,False,False,False
1744675515,3438035,IBE2620,20773,165,38025,37600,43.49446105957031,-6.325442291969477,478,0,0,0.0,107,0.0,0.0,0,0,64,0,29,1744675514730,-34.99412536621094,0,2,8,186,0,1,9,1,3,1,35,False,False,0,0,0,0,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744675576,3438035,IBE2620,20773,165,38000,37600,43.42964172363281,-6.049123364825562,477,248,460,0.7839999794960022,108,-0.03125,0.0,112,0,64,96,378,1744675575946,-30.64372444152832,44566,2,8,186,2,1,9,1,3,3,0,False,False,2,2,36,230,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744675636,3438035,IBE2620,20773,165,37975,37575,43.38901325807733,-5.878143310546875,477,254,464,0.800000011920929,108,-0.03125,0.17578125,113,0,128,96,1179,1744675636030,-31.073284149169922,30246,2,8,186,2,1,9,1,3,3,1,False,False,2,2,34,219,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744675696,3438035,IBE2620,20773,165,38000,37600,43.347381591796875,-5.7043953829033285,478,248,460,0.7839999794960022,108,-0.03125,-0.3515625,113,0,0,0,2062,1744675696219,-29.167898178100586,16070,2,8,186,2,1,9,1,3,3,0,False,False,2,2,37,229,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744675756,3438035,IBE2620,20773,165,38000,37600,43.31015376721398,-5.549665178571445,479,249,460,0.7839999794960022,108,-0.03125,-0.52734375,113,0,0,96,2815,1744675750541,-31.73453140258789,6444,2,8,186,2,1,9,1,3,3,6,False,False,2,2,38,230,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744675816,3438035,IBE2620,20773,165,38000,37625,43.26713949947034,-5.372641427176347,478,246,456,0.7760000228881836,108,-0.03125,-0.17578125,113,0,0,0,3390,1744675814418,-31.526269912719727,14853,2,8,186,2,1,9,1,3,3,5,False,False,2,2,47,229,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744675876,3438035,IBE2620,20773,165,38000,37625,43.221704515360166,-5.18685477120539,479,248,460,0.7839999794960022,108,-0.03125,-0.17578125,113,0,64,0,3878,1744675876870,-29.32262420654297,30008,2,8,186,2,1,9,1,3,3,0,False,False,2,2,40,232,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744675936,3438035,IBE2620,20773,165,38000,37650,43.213897705078125,-5.154887354651123,480,250,464,0.7879999876022339,108,-0.03125,-0.17578125,113,0,0,-64,3968,1744675902565,-34.53667449951172,32684,2,8,186,2,1,9,1,3,3,48,False,False,2,2,39,229,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
1744680981,11205919,,5203,0,38000,37500,43.92768859863281,-5.896847747092977,495,263,480,0.8240000009536743,110,-0.03125,-0.52734375,115,0,-64,0,73,1744680980851,-34.556884765625,70640,2,8,186,0,1,8,1,2,1,3,False,False,0,0,0,0,1013.5999755859375,38016,0,0,0,0,False,False,False,False,False,False
